,Unnamed: 0,Type,Name,Age,Gender,Color1,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Fee,State,PhotoAmt,AdoptionSpeed,BreedMixed,ColorMixed,Video
0,0,2,Nibble,3,1,1,1,1,2,2,2,1,100,41326,1,2,FALSE,FALSE,FALSE
1,1,2,No Name,1,1,1,2,2,3,3,3,1,0,41401,2,0,FALSE,FALSE,FALSE
2,2,1,Brisco,1,1,2,2,2,1,1,2,1,0,41326,7,3,TRUE,FALSE,FALSE
3,3,1,Miko,4,2,1,2,1,1,1,2,1,150,41401,8,2,TRUE,FALSE,FALSE
4,4,1,Hunter,1,1,1,2,1,2,2,2,1,0,41326,3,2,TRUE,TRUE,FALSE
5,5,2,No Name,3,2,5,2,1,2,2,2,1,0,41326,2,2,FALSE,FALSE,FALSE
6,6,2,BULAT,12,1,1,2,3,2,2,3,1,300,41326,3,1,FALSE,TRUE,FALSE
7,7,2,No Name,2,2,6,2,2,2,2,2,1,0,41326,6,1,FALSE,TRUE,FALSE
8,8,2,Kitty,12,2,1,2,2,3,3,3,1,0,41326,2,4,FALSE,FALSE,FALSE
9,9,1,Bear,2,1,1,2,1,2,1,2,1,0,41401,7,1,TRUE,FALSE,FALSE
10,10,2,Kali,3,2,1,3,3,1,1,2,1,50,41326,2,1,FALSE,FALSE,FALSE
11,11,1,Peanut,2,1,2,2,3,1,1,2,1,0,41326,1,2,TRUE,FALSE,FALSE
12,12,1,No Name,3,2,2,2,2,3,3,3,1,0,41401,2,2,TRUE,FALSE,FALSE
13,13,1,Max,78,1,1,2,2,3,3,3,1,0,41326,2,4,FALSE,FALSE,FALSE
14,14,2,Brownie,6,2,2,1,1,1,1,1,1,0,41326,1,3,FALSE,TRUE,FALSE
15,15,1,Blackie,8,2,2,2,1,2,1,1,1,10,41330,2,4,TRUE,TRUE,FALSE
16,16,1,Beauty,2,2,1,2,1,2,1,2,1,0,41401,8,2,TRUE,TRUE,FALSE
17,17,1,Godiva,12,2,2,2,2,2,1,1,1,0,41326,7,2,TRUE,FALSE,FALSE
18,18,1,Donut,10,2,1,2,2,1,1,1,1,0,41326,0,4,FALSE,FALSE,FALSE
19,19,2,Cikenet,3,1,2,1,1,2,1,2,1,0,41401,19,1,FALSE,FALSE,FALSE
20,20,2,Garfield,36,1,3,3,2,1,1,1,1,0,41326,3,2,FALSE,TRUE,FALSE
21,21,2,No Name,2,1,3,2,2,2,2,2,1,0,41401,11,1,FALSE,TRUE,FALSE
22,22,2,No Name,1,2,1,2,1,2,2,2,1,0,41326,2,2,FALSE,TRUE,FALSE
23,23,1,Hunter,14,1,1,3,1,1,1,2,1,1,41326,0,3,FALSE,FALSE,FALSE
24,24,2,Pepper,1,2,2,1,1,2,1,2,1,0,41327,1,2,FALSE,FALSE,FALSE
25,25,2,Kekok,1,1,1,1,1,2,2,2,1,0,41361,1,1,FALSE,TRUE,FALSE
26,26,2,No Name,3,2,1,1,1,1,2,2,1,1,41327,5,4,FALSE,FALSE,FALSE
27,27,2,Tom,12,2,6,2,3,2,2,2,1,0,41326,5,1,FALSE,TRUE,FALSE
28,28,2,Comel,2,2,2,1,2,2,2,2,1,0,41326,3,1,FALSE,TRUE,FALSE
29,29,1,WHISKY,12,1,1,2,1,2,2,2,1,0,41336,4,1,TRUE,TRUE,FALSE
30,30,1,Boy,12,1,5,2,2,1,1,2,1,0,41326,1,3,TRUE,TRUE,FALSE
31,31,2,Angel,2,2,7,2,2,2,1,2,1,0,41326,13,3,FALSE,TRUE,FALSE
32,32,1,Jack,5,1,7,2,1,1,1,1,1,0,41401,6,3,FALSE,TRUE,FALSE
33,33,1,No Name,12,1,2,2,2,2,1,1,1,0,41336,2,4,TRUE,FALSE,FALSE
34,34,2,Cimpuk,5,1,4,1,3,1,1,2,1,0,41326,13,3,FALSE,FALSE,FALSE
35,35,1,Lollipop,72,2,2,2,1,1,1,1,1,0,41326,3,4,TRUE,FALSE,FALSE
36,36,2,Alang,60,1,1,3,3,1,1,1,1,0,41326,3,2,FALSE,FALSE,FALSE
37,37,2,No Name,6,1,1,2,1,1,1,1,1,100,41401,1,4,FALSE,FALSE,FALSE
38,38,1,No Name,2,1,2,2,1,1,1,2,1,0,41326,3,3,TRUE,FALSE,FALSE
39,39,1,Dusty,3,2,2,1,1,3,3,3,2,0,41326,0,3,TRUE,FALSE,FALSE
40,40,2,No Name,5,1,1,2,1,2,1,2,1,30,41326,4,4,FALSE,FALSE,FALSE
41,41,1,Skippy,24,2,5,2,2,1,1,1,1,0,41326,2,2,TRUE,TRUE,FALSE
42,42,1,Ceasar,4,1,5,3,2,2,2,2,1,0,41326,3,1,TRUE,TRUE,FALSE
43,43,2,No Name,1,2,4,2,1,2,2,2,1,0,41326,5,1,FALSE,TRUE,FALSE
44,44,1,Lego,9,1,2,2,1,1,1,3,1,0,41327,2,4,TRUE,FALSE,FALSE
45,45,1,Milky,60,2,2,2,1,2,2,1,1,0,41326,2,4,TRUE,FALSE,FALSE
46,46,1,IO-Male-03,2,1,1,2,2,2,2,2,1,0,41327,5,2,TRUE,FALSE,FALSE
47,47,1,No Name,48,2,2,2,2,1,1,2,1,0,41326,5,1,FALSE,FALSE,FALSE
48,48,2,No Name,3,2,2,2,1,2,2,2,1,0,41324,1,4,FALSE,TRUE,FALSE
49,49,2,Almond,9,2,2,2,1,2,2,2,1,0,41401,1,2,FALSE,FALSE,FALSE
50,50,1,Jasz,62,1,1,2,2,1,1,1,1,0,41401,3,4,TRUE,FALSE,FALSE
51,51,1,H3,1,2,1,2,2,2,1,2,1,0,41326,1,3,TRUE,FALSE,FALSE
52,52,1,No Name,2,1,1,1,1,1,3,2,1,0,41401,5,1,FALSE,FALSE,FALSE
53,53,1,Ollie,2,1,1,1,1,1,1,2,1,0,41326,3,4,TRUE,FALSE,FALSE
54,54,1,Coco,2,2,2,2,1,2,1,2,1,0,41336,1,0,TRUE,FALSE,FALSE
55,55,1,Zoe,12,2,2,2,1,1,1,1,1,0,41326,3,3,TRUE,TRUE,FALSE
56,56,1,Z3,2,1,2,2,2,1,1,2,1,0,41326,5,1,TRUE,TRUE,FALSE
57,57,1,No Name,1,2,2,2,1,1,1,2,1,0,41326,1,3,TRUE,FALSE,FALSE
58,58,1,MPSP-F-01,2,2,1,2,1,1,2,2,1,0,41327,1,4,TRUE,FALSE,FALSE
59,59,1,Teddy,3,1,1,1,3,1,1,3,1,750,41326,2,1,FALSE,FALSE,FALSE
60,60,1,No Name,3,1,1,2,2,2,1,2,1,0,41325,1,2,TRUE,FALSE,FALSE
61,61,1,Cody,3,1,5,2,2,3,3,2,1,0,41326,3,3,FALSE,TRUE,FALSE
62,62,2,Malee,6,2,5,2,2,2,1,2,1,50,41326,4,3,FALSE,FALSE,FALSE
63,63,2,Lulu,47,2,1,2,3,2,2,2,1,0,41326,2,4,FALSE,FALSE,FALSE
64,64,1,No Name,2,1,1,3,2,3,3,3,1,0,41326,4,2,FALSE,FALSE,FALSE
65,65,1,No Name,12,2,5,2,2,1,1,1,1,0,41330,11,3,TRUE,TRUE,TRUE
66,66,1,Molly,2,1,1,2,1,1,1,2,1,0,41326,18,3,FALSE,FALSE,TRUE
67,67,1,No Name,1,1,2,2,1,2,2,2,1,0,41330,5,3,TRUE,TRUE,FALSE
68,68,2,No Name,24,1,4,3,1,2,2,2,2,0,41324,12,3,FALSE,TRUE,FALSE
69,69,2,No Name,24,2,2,2,1,2,2,1,1,0,41326,1,4,FALSE,FALSE,FALSE
70,70,1,HeiHei,2,1,1,2,1,2,2,2,1,0,41327,2,3,TRUE,FALSE,FALSE
71,71,2,Manja,19,2,1,3,3,1,1,2,1,0,41401,3,1,FALSE,FALSE,FALSE
72,72,1,Miko,4,2,2,1,3,3,1,1,1,0,41401,3,3,FALSE,TRUE,FALSE
73,73,1,No Name,24,1,2,2,1,2,2,2,1,0,41336,3,3,TRUE,FALSE,FALSE
74,74,2,No Name,3,1,1,2,2,3,3,2,1,0,41326,1,1,FALSE,FALSE,FALSE
75,75,1,No Name,24,2,1,2,2,3,3,1,1,0,41326,2,2,FALSE,FALSE,FALSE
76,76,1,No Name,60,1,6,2,2,1,1,1,1,0,41401,3,4,FALSE,TRUE,FALSE
77,77,1,C,1,2,1,2,2,1,1,2,1,0,41326,1,3,TRUE,FALSE,FALSE
78,78,2,Honey,3,2,2,1,1,1,1,2,1,0,41326,7,1,FALSE,FALSE,FALSE
79,79,2,Meelow,2,1,3,1,2,2,2,2,1,0,41401,2,2,FALSE,TRUE,FALSE
80,80,1,No Name,2,2,1,2,1,2,2,2,1,0,41401,2,3,TRUE,FALSE,FALSE
81,81,2,No Name,2,2,6,2,1,2,1,2,1,0,41401,2,1,FALSE,FALSE,FALSE
82,82,1,Pretzel,3,2,2,2,1,1,1,2,1,0,41401,4,4,TRUE,TRUE,FALSE
83,83,2,No Name,4,2,1,2,1,1,1,2,1,0,41401,5,2,FALSE,FALSE,FALSE
84,84,1,No Name,120,1,1,3,1,3,3,3,1,0,41401,3,4,TRUE,FALSE,FALSE
85,85,1,Rocket,3,2,2,2,1,2,2,2,1,0,41326,4,4,TRUE,TRUE,FALSE
86,86,1,No Name,36,2,2,3,2,1,1,2,1,0,41326,4,1,FALSE,FALSE,FALSE
87,87,2,No Name,3,2,1,1,1,2,1,2,1,0,41326,3,4,FALSE,FALSE,FALSE
88,88,2,Girl,60,1,3,2,2,1,1,2,1,0,41326,0,4,FALSE,TRUE,FALSE
89,89,2,DIDO,1,2,2,2,1,2,1,3,1,0,41326,4,1,FALSE,FALSE,FALSE
90,90,1,Kaiser,36,1,1,3,1,1,1,1,1,0,41326,4,2,FALSE,FALSE,FALSE
91,91,1,Oscar,12,1,1,2,2,1,2,2,1,400,41332,1,2,FALSE,FALSE,FALSE
92,92,2,Zoro,1,1,1,1,2,2,2,2,1,0,41326,1,2,FALSE,FALSE,TRUE
93,93,1,WonderBoy,5,1,5,2,1,1,1,1,1,0,41401,6,3,FALSE,FALSE,FALSE
94,94,1,Ruby,24,2,1,2,2,3,3,3,1,0,41401,3,3,FALSE,FALSE,FALSE
95,95,1,Milo,3,1,2,2,2,1,1,2,1,0,41326,3,1,TRUE,TRUE,FALSE
96,96,1,No Name,4,2,1,2,1,2,1,2,1,0,41335,5,4,TRUE,TRUE,FALSE
97,97,2,No Name,8,1,2,2,1,1,1,2,1,50,41326,8,2,FALSE,FALSE,FALSE
98,98,2,No Name,12,1,1,2,2,2,2,2,1,0,41326,1,3,FALSE,TRUE,FALSE
99,99,1,Polly,4,2,1,2,2,1,1,1,1,0,41326,10,3,FALSE,FALSE,FALSE
100,100,1,Kaka,2,1,1,2,1,2,3,2,1,0,41326,3,2,TRUE,FALSE,FALSE
101,101,2,Manja,7,2,1,2,1,1,1,2,1,0,41326,7,2,FALSE,FALSE,FALSE
102,102,2,Pillo,5,1,4,2,3,2,1,2,1,100,41401,5,3,FALSE,TRUE,FALSE
103,103,1,Sophieee,60,2,1,2,1,1,1,1,1,0,41401,2,3,FALSE,FALSE,FALSE
104,104,1,Latte,12,2,2,2,1,1,1,1,1,0,41326,2,2,TRUE,TRUE,FALSE
105,105,2,Cat,17,2,1,1,1,3,3,1,1,0,41326,3,3,FALSE,FALSE,FALSE
106,106,1,Roscoe,48,1,1,2,2,1,1,1,1,0,41326,2,2,TRUE,FALSE,FALSE
107,107,1,Winnie,4,2,1,2,1,1,2,2,1,0,41332,2,3,TRUE,FALSE,FALSE
108,108,2,Manis,12,2,3,2,2,3,1,1,1,0,41326,2,3,FALSE,FALSE,FALSE
109,109,2,Tobby,12,1,1,3,3,2,1,2,1,0,41326,2,1,FALSE,FALSE,FALSE
110,110,2,Lily,3,2,6,2,1,1,1,2,1,0,41401,3,2,FALSE,FALSE,TRUE
111,111,1,No Name,36,2,1,3,2,3,3,3,2,0,41401,4,3,FALSE,FALSE,FALSE
112,112,1,No Name,12,2,5,2,1,3,3,3,1,0,41326,1,4,TRUE,FALSE,TRUE
113,113,1,Ffiona,2,2,1,2,2,1,1,2,1,80,41327,1,4,TRUE,FALSE,FALSE
114,114,1,Scooby,36,1,1,2,1,1,1,1,1,0,41330,1,2,FALSE,TRUE,FALSE
115,115,2,No Name,1,2,4,1,1,2,2,2,1,0,41401,3,1,FALSE,FALSE,FALSE
116,116,1,Nutella,2,2,2,2,1,1,1,2,1,0,41326,4,1,TRUE,TRUE,FALSE
